season,round,lap,position,driverId,time
2023,1,1,1,max_verstappen,1:39.019
2023,1,1,2,leclerc,1:40.230
2023,1,1,3,perez,1:41.063
2023,1,1,4,sainz,1:41.659
2023,1,1,5,hamilton,1:42.288
2023,1,1,6,russell,1:42.662
2023,1,1,7,alonso,1:43.608
2023,1,1,8,bottas,1:44.154
2023,1,1,9,stroll,1:44.670
2023,1,1,10,norris,1:45.364
2023,1,1,11,ocon,1:45.967
2023,1,1,12,albon,1:46.453
2023,1,1,13,sargeant,1:46.855
2023,1,1,14,hulkenberg,1:47.339
2023,1,1,15,tsunoda,1:47.791
2023,1,1,16,piastri,1:48.214
2023,1,1,17,zhou,1:48.467
2023,1,1,18,kevin_magnussen,1:49.330
2023,1,1,19,gasly,1:49.649
2023,1,1,20,de_vries,1:49.959
2023,1,2,1,max_verstappen,1:37.974
2023,1,2,2,leclerc,1:38.750
2023,1,2,3,perez,1:38.862
2023,1,2,4,sainz,1:38.933
2023,1,2,5,hamilton,1:39.166
2023,1,2,6,russell,1:39.590
2023,1,2,7,alonso,1:39.792
2023,1,2,8,bottas,1:39.956
2023,1,2,9,stroll,1:39.892
2023,1,2,10,norris,1:40.433
2023,1,2,11,ocon,1:40.408
2023,1,2,12,albon,1:40.430
2023,1,2,13,sargeant,1:40.467
2023,1,2,14,hulkenberg,1:40.720
2023,1,2,15,tsunoda,1:40.837
2023,1,2,16,piastri,1:40.830
2023,1,2,17,zhou,1:41.091
2023,1,2,18,gasly,1:40.438
2023,1,2,19,kevin_magnussen,1:41.521
2023,1,2,20,de_vries,1:41.289
2023,1,3,1,max_verstappen,1:38.006
2023,1,3,2,leclerc,1:38.658
2023,1,3,3,perez,1:38.830
2023,1,3,4,sainz,1:39.042
2023,1,3,5,hamilton,1:39.220
2023,1,3,6,russell,1:39.093
2023,1,3,7,alonso,1:39.100
2023,1,3,8,bottas,1:39.397
2023,1,3,9,stroll,1:39.625
2023,1,3,10,norris,1:39.777
2023,1,3,11,ocon,1:39.948
2023,1,3,12,albon,1:40.143
2023,1,3,13,sargeant,1:40.349
2023,1,3,14,hulkenberg,1:40.484
2023,1,3,15,tsunoda,1:40.243
2023,1,3,16,piastri,1:40.691
2023,1,3,17,zhou,1:40.596
2023,1,3,18,gasly,1:40.643
2023,1,3,19,de_vries,1:40.914
2023,1,3,20,kevin_magnussen,1:41.978
2023,1,4,1,max_verstappen,1:37.976
2023,1,4,2,leclerc,1:38.825
2023,1,4,3,perez,1:38.758
2023,1,4,4,sainz,1:38.985
2023,1,4,5,hamilton,1:39.198
2023,1,4,6,russell,1:39.261
2023,1,4,7,alonso,1:39.548
2023,1,4,8,bottas,1:39.823
2023,1,4,9,stroll,1:39.745
2023,1,4,10,ocon,1:39.543
2023,1,4,11,albon,1:39.761
2023,1,4,12,norris,1:42.267
2023,1,4,13,sargeant,1:40.644
2023,1,4,14,tsunoda,1:39.950
2023,1,4,15,hulkenberg,1:41.004
2023,1,4,16,piastri,1:40.718
2023,1,4,17,zhou,1:40.853
2023,1,4,18,gasly,1:40.894
2023,1,4,19,de_vries,1:40.373
2023,1,4,20,kevin_magnussen,1:40.773
2023,1,5,1,max_verstappen,1:38.035
2023,1,5,2,leclerc,1:38.664
2023,1,5,3,perez,1:38.404
2023,1,5,4,sainz,1:39.128
2023,1,5,5,hamilton,1:39.335
2023,1,5,6,russell,1:39.549
2023,1,5,7,alonso,1:39.662
2023,1,5,8,stroll,1:39.144
2023,1,5,9,bottas,1:41.033
2023,1,5,10,ocon,1:40.281
2023,1,5,11,albon,1:40.606
2023,1,5,12,norris,1:40.664
2023,1,5,13,sargeant,1:40.902
2023,1,5,14,tsunoda,1:41.131
2023,1,5,15,hulkenberg,1:41.002
2023,1,5,16,piastri,1:40.862
2023,1,5,17,zhou,1:40.814
2023,1,5,18,gasly,1:40.818
2023,1,5,19,de_vries,1:40.630
2023,1,5,20,kevin_magnussen,1:41.340
2023,1,6,1,max_verstappen,1:37.986
2023,1,6,2,leclerc,1:38.572
2023,1,6,3,perez,1:38.718
2023,1,6,4,sainz,1:39.474
2023,1,6,5,hamilton,1:39.756
2023,1,6,6,russell,1:39.493
2023,1,6,7,alonso,1:39.674
2023,1,6,8,stroll,1:39.714
2023,1,6,9,bottas,1:40.265
2023,1,6,10,ocon,1:40.331
2023,1,6,11,albon,1:40.744
2023,1,6,12,norris,1:40.814
2023,1,6,13,sargeant,1:40.791
2023,1,6,14,tsunoda,1:40.886
2023,1,6,15,hulkenberg,1:41.002
2023,1,6,16,piastri,1:41.111
2023,1,6,17,zhou,1:41.156
2023,1,6,18,gasly,1:41.110
2023,1,6,19,de_vries,1:41.125
2023,1,6,20,kevin_magnussen,1:41.125
2023,1,7,1,max_verstappen,1:38.021
2023,1,7,2,leclerc,1:38.691
2023,1,7,3,perez,1:38.804
2023,1,7,4,sainz,1:39.502
2023,1,7,5,hamilton,1:39.757
2023,1,7,6,russell,1:40.056
2023,1,7,7,alonso,1:39.729
2023,1,7,8,stroll,1:39.945
2023,1,7,9,bottas,1:40.564
2023,1,7,10,ocon,1:40.488
2023,1,7,11,albon,1:40.646
2023,1,7,12,norris,1:40.726
2023,1,7,13,sargeant,1:40.892
2023,1,7,14,tsunoda,1:40.952
2023,1,7,15,hulkenberg,1:41.148
2023,1,7,16,piastri,1:41.167
2023,1,7,17,zhou,1:41.197
2023,1,7,18,gasly,1:41.134
2023,1,7,19,de_vries,1:41.166
2023,1,7,20,kevin_magnussen,1:41.526
2023,1,8,1,max_verstappen,1:38.154
2023,1,8,2,leclerc,1:38.614
2023,1,8,3,perez,1:39.172
2023,1,8,4,sainz,1:39.779
2023,1,8,5,hamilton,1:40.267
2023,1,8,6,russell,1:40.310
2023,1,8,7,alonso,1:39.959
2023,1,8,8,stroll,1:39.801
2023,1,8,9,bottas,1:40.387
2023,1,8,10,ocon,1:40.562
2023,1,8,11,albon,1:40.918
2023,1,8,12,norris,1:40.857
2023,1,8,13,sargeant,1:40.868
2023,1,8,14,tsunoda,1:40.846
2023,1,8,15,hulkenberg,1:41.249
2023,1,8,16,piastri,1:41.295
2023,1,8,17,zhou,1:41.184
2023,1,8,18,gasly,1:41.173
2023,1,8,19,de_vries,1:41.230
2023,1,8,20,kevin_magnussen,1:41.283
2023,1,9,1,max_verstappen,1:38.278
2023,1,9,2,leclerc,1:38.828
2023,1,9,3,perez,1:38.914
2023,1,9,4,sainz,1:39.744
2023,1,9,5,hamilton,1:40.323
2023,1,9,6,russell,1:40.420
2023,1,9,7,alonso,1:40.275
2023,1,9,8,stroll,1:40.106
2023,1,9,9,bottas,1:40.275
2023,1,9,10,ocon,1:40.866
2023,1,9,11,albon,1:40.969
2023,1,9,12,norris,1:40.783
2023,1,9,13,sargeant,1:40.908
2023,1,9,14,tsunoda,1:41.010
2023,1,9,15,hulkenberg,1:41.615
2023,1,9,16,piastri,1:41.534
2023,1,9,17,zhou,1:41.526
2023,1,9,18,de_vries,1:41.573
2023,1,9,19,gasly,1:44.201
2023,1,9,20,kevin_magnussen,1:41.278
2023,1,10,1,max_verstappen,1:38.369
2023,1,10,2,leclerc,1:39.073
2023,1,10,3,perez,1:39.085
2023,1,10,4,sainz,1:40.102
2023,1,10,5,hamilton,1:40.289
2023,1,10,6,russell,1:40.532
2023,1,10,7,alonso,1:40.203
2023,1,10,8,stroll,1:40.192
2023,1,10,9,bottas,1:40.676
2023,1,10,10,ocon,1:40.858
2023,1,10,11,albon,1:41.119
2023,1,10,12,sargeant,1:41.133
2023,1,10,13,norris,1:43.521
2023,1,10,14,tsunoda,1:43.749
2023,1,10,15,hulkenberg,1:42.252
2023,1,10,16,piastri,1:41.584
2023,1,10,17,zhou,1:41.743
2023,1,10,18,de_vries,1:41.666
2023,1,10,19,kevin_magnussen,1:41.719
2023,1,10,20,gasly,2:01.262
2023,1,11,1,max_verstappen,1:38.483
2023,1,11,2,leclerc,1:39.212
2023,1,11,3,perez,1:39.249
2023,1,11,4,sainz,1:40.507
2023,1,11,5,hamilton,1:40.752
2023,1,11,6,russell,1:41.085
2023,1,11,7,alonso,1:41.147
2023,1,11,8,stroll,1:40.923
2023,1,11,9,bottas,1:43.269
2023,1,11,10,ocon,1:41.035
2023,1,11,11,sargeant,1:41.532
2023,1,11,12,albon,1:43.948
2023,1,11,13,piastri,1:41.352
2023,1,11,14,zhou,1:42.108
2023,1,11,15,kevin_magnussen,1:42.049
2023,1,11,16,hulkenberg,1:46.790
2023,1,11,17,de_vries,1:45.460
2023,1,11,18,tsunoda,1:59.843
2023,1,11,19,gasly,1:38.762
2023,1,11,20,norris,2:09.886
2023,1,12,1,max_verstappen,1:38.591
2023,1,12,2,leclerc,1:39.489
2023,1,12,3,perez,1:39.197
2023,1,12,4,sainz,1:40.520
2023,1,12,5,russell,1:41.112
2023,1,12,6,alonso,1:40.934
2023,1,12,7,hamilton,1:43.336
2023,1,12,8,stroll,1:41.039
2023,1,12,9,ocon,1:43.787
2023,1,12,10,sargeant,1:43.880
2023,1,12,11,piastri,1:41.156
2023,1,12,12,zhou,1:43.870
2023,1,12,13,kevin_magnussen,1:41.345
2023,1,12,14,bottas,1:59.450
2023,1,12,15,albon,1:59.445
2023,1,12,16,tsunoda,1:39.143
2023,1,12,17,gasly,1:38.928
2023,1,12,18,norris,1:39.314
2023,1,12,19,de_vries,2:01.184
2023,1,12,20,hulkenberg,2:02.579
2023,1,13,1,max_verstappen,1:38.482
2023,1,13,2,perez,1:39.336
2023,1,13,3,leclerc,1:42.068
2023,1,13,4,sainz,1:43.310
2023,1,13,5,alonso,1:40.341
2023,1,13,6,stroll,1:41.120
2023,1,13,7,russell,1:44.691
2023,1,13,8,hamilton,1:59.179
2023,1,13,9,kevin_magnussen,1:41.654
2023,1,13,10,bottas,1:38.030
2023,1,13,11,albon,1:38.649
2023,1,13,12,ocon,2:00.381
2023,1,13,13,tsunoda,1:39.471
2023,1,13,14,gasly,1:39.349
2023,1,13,15,sargeant,2:00.255
2023,1,13,16,piastri,2:02.071
2023,1,13,17,norris,1:39.510
2023,1,13,18,de_vries,1:38.924
2023,1,13,19,hulkenberg,1:39.406
2023,1,13,20,zhou,2:02.101
2023,1,14,1,max_verstappen,1:41.295
2023,1,14,2,perez,1:38.739
2023,1,14,3,stroll,1:40.002
2023,1,14,4,alonso,1:42.212
2023,1,14,5,leclerc,1:58.770
2023,1,14,6,sainz,1:59.006
2023,1,14,7,hamilton,1:38.308
2023,1,14,8,bottas,1:38.098
2023,1,14,9,kevin_magnussen,1:41.739
2023,1,14,10,russell,2:01.269
2023,1,14,11,albon,1:38.472
2023,1,14,12,ocon,1:38.649
2023,1,14,13,tsunoda,1:38.742
2023,1,14,14,gasly,1:38.859
2023,1,14,15,sargeant,1:38.413
2023,1,14,16,norris,1:39.243
2023,1,14,17,de_vries,1:38.829
2023,1,14,18,hulkenberg,1:38.847
2023,1,14,19,zhou,1:39.330
2023,1,15,1,perez,1:38.608
2023,1,15,2,max_verstappen,1:58.378
2023,1,15,3,leclerc,1:38.477
2023,1,15,4,stroll,1:42.841
2023,1,15,5,sainz,1:37.985
2023,1,15,6,hamilton,1:38.527
2023,1,15,7,bottas,1:38.851
2023,1,15,8,alonso,1:59.692
2023,1,15,9,russell,1:37.460
2023,1,15,10,albon,1:39.158
2023,1,15,11,kevin_magnussen,1:44.899
2023,1,15,12,tsunoda,1:38.975
2023,1,15,13,ocon,1:41.863
2023,1,15,14,gasly,1:38.985
2023,1,15,15,sargeant,1:39.033
2023,1,15,16,norris,1:38.870
2023,1,15,17,de_vries,1:38.868
2023,1,15,18,hulkenberg,1:38.972
2023,1,15,19,zhou,1:39.229
2023,1,16,1,perez,1:38.770
2023,1,16,2,max_verstappen,1:37.801
2023,1,16,3,leclerc,1:37.953
2023,1,16,4,sainz,1:38.433
2023,1,16,5,hamilton,1:38.617
2023,1,16,6,bottas,1:38.494
2023,1,16,7,alonso,1:37.542
2023,1,16,8,russell,1:37.833
2023,1,16,9,stroll,1:59.876
2023,1,16,10,albon,1:39.253
2023,1,16,11,tsunoda,1:39.061
2023,1,16,12,gasly,1:38.945
2023,1,16,13,sargeant,1:38.988
2023,1,16,14,norris,1:38.860
2023,1,16,15,de_vries,1:39.127
2023,1,16,16,hulkenberg,1:39.136
2023,1,16,17,zhou,1:38.998
2023,1,16,18,kevin_magnussen,2:00.587
2023,1,16,19,ocon,2:15.708
2023,1,17,1,perez,1:41.360
2023,1,17,2,max_verstappen,1:37.648
2023,1,17,3,leclerc,1:38.031
2023,1,17,4,sainz,1:38.161
2023,1,17,5,hamilton,1:38.704
2023,1,17,6,alonso,1:38.139
2023,1,17,7,bottas,1:39.973
2023,1,17,8,russell,1:38.604
2023,1,17,9,stroll,1:37.507
2023,1,17,10,albon,1:39.094
2023,1,17,11,tsunoda,1:39.021
2023,1,17,12,gasly,1:39.011
2023,1,17,13,sargeant,1:39.439
2023,1,17,14,de_vries,1:38.996
2023,1,17,15,norris,1:41.501
2023,1,17,16,hulkenberg,1:39.396
2023,1,17,17,zhou,1:39.143
2023,1,17,18,kevin_magnussen,1:38.319
2023,1,17,19,ocon,1:38.780
2023,1,18,1,max_verstappen,1:37.614
2023,1,18,2,leclerc,1:37.798
2023,1,18,3,perez,1:58.797
