season,round,lap,position,driverId,time
2017,1,1,1,hamilton,1:34.404
2017,1,1,2,vettel,1:35.078
2017,1,1,3,bottas,1:36.009
2017,1,1,4,raikkonen,1:37.493
2017,1,1,5,max_verstappen,1:38.375
2017,1,1,6,massa,1:39.674
2017,1,1,7,grosjean,1:40.716
2017,1,1,8,sainz,1:41.891
2017,1,1,9,perez,1:42.868
2017,1,1,10,kvyat,1:43.910
2017,1,1,11,alonso,1:44.745
2017,1,1,12,hulkenberg,1:45.237
2017,1,1,13,ocon,1:45.554
2017,1,1,14,stroll,1:46.011
2017,1,1,15,jolyon_palmer,1:46.279
2017,1,1,16,vandoorne,1:46.762
2017,1,1,17,giovinazzi,1:47.489
2017,1,1,18,ericsson,1:59.379
2017,1,1,19,kevin_magnussen,2:47.633
2017,1,1,20,ricciardo,4:56.773
2017,1,2,1,hamilton,1:29.638
2017,1,2,2,vettel,1:29.727
2017,1,2,3,bottas,1:30.141
2017,1,2,4,raikkonen,1:30.567
2017,1,2,5,max_verstappen,1:30.829
2017,1,2,6,massa,1:31.151
2017,1,2,7,grosjean,1:31.242
2017,1,2,8,sainz,1:31.386
2017,1,2,9,perez,1:31.589
2017,1,2,10,kvyat,1:31.786
2017,1,2,11,alonso,1:31.942
2017,1,2,12,hulkenberg,1:32.223
2017,1,2,13,ocon,1:32.699
2017,1,2,14,stroll,1:33.362
2017,1,2,15,jolyon_palmer,1:34.240
2017,1,2,16,vandoorne,1:34.509
2017,1,2,17,giovinazzi,1:34.891
2017,1,2,18,ericsson,1:32.683
2017,1,2,19,kevin_magnussen,1:37.645
2017,1,2,20,ricciardo,1:32.510
2017,1,3,1,hamilton,1:29.119
2017,1,3,2,vettel,1:29.043
2017,1,3,3,bottas,1:29.635
2017,1,3,4,raikkonen,1:30.163
2017,1,3,5,max_verstappen,1:30.490
2017,1,3,6,massa,1:30.623
2017,1,3,7,grosjean,1:31.050
2017,1,3,8,sainz,1:31.658
2017,1,3,9,perez,1:31.539
2017,1,3,10,kvyat,1:31.610
2017,1,3,11,alonso,1:31.709
2017,1,3,12,hulkenberg,1:32.092
2017,1,3,13,ocon,1:32.268
2017,1,3,14,stroll,1:32.233
