season,round,lap,position,driverId,time
2018,1,1,1,hamilton,1:34.233
2018,1,1,2,raikkonen,1:35.474
2018,1,1,3,vettel,1:36.194
2018,1,1,4,kevin_magnussen,1:37.107
2018,1,1,5,max_verstappen,1:37.684
2018,1,1,6,grosjean,1:38.450
2018,1,1,7,hulkenberg,1:39.077
2018,1,1,8,ricciardo,1:39.600
2018,1,1,9,sainz,1:40.565
2018,1,1,10,alonso,1:41.528
2018,1,1,11,vandoorne,1:41.951
2018,1,1,12,perez,1:42.341
2018,1,1,13,ocon,1:42.906
2018,1,1,14,stroll,1:43.434
2018,1,1,15,bottas,1:43.824
2018,1,1,16,ericsson,1:44.674
2018,1,1,17,gasly,1:45.060
2018,1,1,18,leclerc,1:45.584
2018,1,1,19,sirotkin,1:46.494
2018,1,1,20,brendon_hartley,2:05.584
2018,1,2,1,hamilton,1:30.265
2018,1,2,2,raikkonen,1:30.266
2018,1,2,3,vettel,1:30.562
2018,1,2,4,kevin_magnussen,1:30.830
2018,1,2,5,max_verstappen,1:30.942
2018,1,2,6,grosjean,1:31.033
2018,1,2,7,hulkenberg,1:31.310
2018,1,2,8,ricciardo,1:31.264
2018,1,2,9,sainz,1:31.322
2018,1,2,10,alonso,1:31.565
2018,1,2,11,vandoorne,1:32.173
2018,1,2,12,perez,1:32.896
2018,1,2,13,ocon,1:32.955
2018,1,2,14,stroll,1:33.137
2018,1,2,15,bottas,1:33.264
2018,1,2,16,ericsson,1:33.177
2018,1,2,17,gasly,1:33.372
2018,1,2,18,leclerc,1:33.775
2018,1,2,19,sirotkin,1:34.137
2018,1,2,20,brendon_hartley,1:37.241
2018,1,3,1,hamilton,1:29.809
2018,1,3,2,raikkonen,1:29.856
2018,1,3,3,vettel,1:30.177
2018,1,3,4,kevin_magnussen,1:31.235
2018,1,3,5,max_verstappen,1:30.904
2018,1,3,6,grosjean,1:31.150
2018,1,3,7,hulkenberg,1:31.081
2018,1,3,8,ricciardo,1:31.162
2018,1,3,9,sainz,1:31.267
2018,1,3,10,alonso,1:31.304
2018,1,3,11,vandoorne,1:31.560
2018,1,3,12,perez,1:32.004
2018,1,3,13,ocon,1:32.581
2018,1,3,14,stroll,1:32.654
2018,1,3,15,bottas,1:32.580
2018,1,3,16,ericsson,1:32.746
2018,1,3,17,gasly,1:32.861
2018,1,3,18,leclerc,1:32.405
2018,1,3,19,sirotkin,1:32.573
2018,1,3,20,brendon_hartley,1:30.888
2018,1,4,1,hamilton,1:29.473
2018,1,4,2,raikkonen,1:29.550
2018,1,4,3,vettel,1:29.610
2018,1,4,4,kevin_magnussen,1:30.547
2018,1,4,5,max_verstappen,1:30.812
2018,1,4,6,grosjean,1:30.769
2018,1,4,7,hulkenberg,1:30.847
2018,1,4,8,ricciardo,1:30.796
2018,1,4,9,sainz,1:30.672
2018,1,4,10,alonso,1:30.551
2018,1,4,11,vandoorne,1:30.857
2018,1,4,12,perez,1:31.372
2018,1,4,13,ocon,1:31.912
2018,1,4,14,bottas,1:31.848
2018,1,4,15,stroll,1:32.962
2018,1,4,16,ericsson,1:32.210
2018,1,4,17,gasly,1:32.184
2018,1,4,18,leclerc,1:33.128
2018,1,4,19,sirotkin,1:32.943
2018,1,4,20,brendon_hartley,1:31.182
2018,1,5,1,hamilton,1:29.161
2018,1,5,2,raikkonen,1:29.740
2018,1,5,3,vettel,1:29.540
2018,1,5,4,kevin_magnussen,1:30.518
2018,1,5,5,max_verstappen,1:30.477
2018,1,5,6,grosjean,1:30.694
2018,1,5,7,ricciardo,1:31.690
2018,1,5,8,hulkenberg,1:32.858
2018,1,5,9,sainz,1:31.834
2018,1,5,10,alonso,1:31.910
2018,1,5,11,vandoorne,1:31.471
2018,1,5,12,perez,1:31.160
2018,1,5,13,ocon,1:31.337
2018,1,5,14,bottas,1:31.530
2018,1,5,15,stroll,1:32.273
2018,1,5,16,ericsson,1:32.289
2018,1,5,17,gasly,1:32.332
2018,1,5,18,leclerc,1:32.087
2018,1,5,19,brendon_hartley,1:31.481
2018,1,6,1,hamilton,1:30.113
2018,1,6,2,raikkonen,1:30.432
2018,1,6,3,vettel,1:30.497
2018,1,6,4,kevin_magnussen,1:30.984
2018,1,6,5,max_verstappen,1:31.259
2018,1,6,6,grosjean,1:31.430
2018,1,6,7,ricciardo,1:30.718
2018,1,6,8,hulkenberg,1:31.321
2018,1,6,9,sainz,1:31.816
2018,1,6,10,alonso,1:31.731
2018,1,6,11,vandoorne,1:31.963
2018,1,6,12,perez,1:31.558
2018,1,6,13,ocon,1:31.906
2018,1,6,14,bottas,1:31.554
2018,1,6,15,stroll,1:32.517
2018,1,6,16,gasly,1:38.180
2018,1,6,17,leclerc,1:37.515
2018,1,6,18,brendon_hartley,1:32.111
2018,1,7,1,hamilton,1:30.020
2018,1,7,2,raikkonen,1:29.944
2018,1,7,3,vettel,1:30.177
