season,round,lap,position,driverId,time
2024,1,1,1,max_verstappen,1:37.284
2024,1,1,2,leclerc,1:38.271
2024,1,1,3,russell,1:39.228
2024,1,1,4,perez,1:40.053
2024,1,1,5,sainz,1:40.620
2024,1,1,6,alonso,1:41.679
2024,1,1,7,norris,1:42.168
2024,1,1,8,piastri,1:42.523
2024,1,1,9,hamilton,1:43.122
2024,1,1,10,tsunoda,1:43.485
2024,1,1,11,albon,1:43.888
2024,1,1,12,kevin_magnussen,1:44.349
2024,1,1,13,zhou,1:44.801
2024,1,1,14,ricciardo,1:45.668
2024,1,1,15,sargeant,1:45.921
2024,1,1,16,ocon,1:46.657
2024,1,1,17,gasly,1:47.240
2024,1,1,18,bottas,1:48.536
2024,1,1,19,stroll,1:50.214
2024,1,1,20,hulkenberg,1:53.555
2024,1,2,1,max_verstappen,1:36.296
2024,1,2,2,leclerc,1:36.862
2024,1,2,3,russell,1:36.635
2024,1,2,4,perez,1:36.541
2024,1,2,5,sainz,1:37.236
2024,1,2,6,alonso,1:38.020
2024,1,2,7,norris,1:38.010
2024,1,2,8,piastri,1:38.382
2024,1,2,9,hamilton,1:38.273
2024,1,2,10,tsunoda,1:38.689
2024,1,2,11,albon,1:38.826
2024,1,2,12,kevin_magnussen,1:38.911
2024,1,2,13,zhou,1:38.920
2024,1,2,14,sargeant,1:38.481
2024,1,2,15,ricciardo,1:39.509
2024,1,2,16,ocon,1:39.094
2024,1,2,17,gasly,1:39.059
2024,1,2,18,bottas,1:38.259
2024,1,2,19,stroll,1:37.987
2024,1,2,20,hulkenberg,2:10.911
2024,1,3,1,max_verstappen,1:36.753
2024,1,3,2,russell,1:36.406
2024,1,3,3,leclerc,1:38.062
2024,1,3,4,perez,1:37.297
2024,1,3,5,sainz,1:37.080
2024,1,3,6,norris,1:37.787
2024,1,3,7,alonso,1:39.046
2024,1,3,8,piastri,1:38.258
2024,1,3,9,hamilton,1:38.303
2024,1,3,10,tsunoda,1:38.431
2024,1,3,11,albon,1:38.507
2024,1,3,12,kevin_magnussen,1:38.399
2024,1,3,13,zhou,1:38.582
2024,1,3,14,sargeant,1:38.707
2024,1,3,15,ricciardo,1:38.760
2024,1,3,16,ocon,1:38.771
2024,1,3,17,gasly,1:38.744
2024,1,3,18,bottas,1:38.837
2024,1,3,19,stroll,1:38.279
2024,1,3,20,hulkenberg,1:37.317
2024,1,4,1,max_verstappen,1:36.647
2024,1,4,2,russell,1:37.738
2024,1,4,3,leclerc,1:37.752
2024,1,4,4,perez,1:37.722
2024,1,4,5,sainz,1:37.264
2024,1,4,6,norris,1:37.450
2024,1,4,7,alonso,1:37.776
2024,1,4,8,piastri,1:37.897
2024,1,4,9,hamilton,1:38.287
2024,1,4,10,tsunoda,1:38.310
2024,1,4,11,albon,1:38.422
2024,1,4,12,kevin_magnussen,1:38.497
2024,1,4,13,zhou,1:38.428
2024,1,4,14,sargeant,1:38.390
2024,1,4,15,ricciardo,1:38.610
2024,1,4,16,ocon,1:38.625
2024,1,4,17,gasly,1:38.503
2024,1,4,18,bottas,1:38.643
2024,1,4,19,stroll,1:38.364
2024,1,4,20,hulkenberg,1:37.349
2024,1,5,1,max_verstappen,1:37.173
2024,1,5,2,russell,1:38.116
2024,1,5,3,leclerc,1:38.131
