season,round,lap,position,driverId,time
2019,1,1,1,bottas,1:33.813
2019,1,1,2,hamilton,1:34.887
2019,1,1,3,vettel,1:35.626
2019,1,1,4,max_verstappen,1:36.291
2019,1,1,5,leclerc,1:37.042
2019,1,1,6,kevin_magnussen,1:38.243
2019,1,1,7,grosjean,1:39.116
2019,1,1,8,hulkenberg,1:39.692
2019,1,1,9,raikkonen,1:40.507
2019,1,1,10,norris,1:41.117
2019,1,1,11,albon,1:41.759
2019,1,1,12,perez,1:42.296
2019,1,1,13,stroll,1:42.777
2019,1,1,14,sainz,1:43.203
2019,1,1,15,kvyat,1:43.893
2019,1,1,16,giovinazzi,1:44.675
2019,1,1,17,gasly,1:45.008
2019,1,1,18,russell,1:46.033
2019,1,1,19,kubica,2:26.128
2019,1,1,20,ricciardo,2:28.213
2019,1,2,1,bottas,1:29.662
2019,1,2,2,hamilton,1:29.759
2019,1,2,3,vettel,1:30.095
2019,1,2,4,max_verstappen,1:30.053
2019,1,2,5,leclerc,1:30.636
2019,1,2,6,kevin_magnussen,1:30.912
2019,1,2,7,grosjean,1:31.050
2019,1,2,8,hulkenberg,1:31.205
2019,1,2,9,raikkonen,1:31.184
2019,1,2,10,norris,1:31.414
2019,1,2,11,albon,1:31.716
2019,1,2,12,perez,1:31.970
2019,1,2,13,stroll,1:32.014
2019,1,2,14,sainz,1:32.340
2019,1,2,15,kvyat,1:32.335
2019,1,2,16,gasly,1:31.585
2019,1,2,17,giovinazzi,1:33.661
2019,1,2,18,russell,1:33.355
2019,1,2,19,kubica,1:39.740
2019,1,2,20,ricciardo,1:38.185
2019,1,3,1,bottas,1:29.246
2019,1,3,2,hamilton,1:29.332
2019,1,3,3,vettel,1:29.371
2019,1,3,4,max_verstappen,1:29.370
2019,1,3,5,leclerc,1:30.033
2019,1,3,6,kevin_magnussen,1:30.713
2019,1,3,7,grosjean,1:30.730
2019,1,3,8,hulkenberg,1:30.699
2019,1,3,9,raikkonen,1:30.928
2019,1,3,10,norris,1:31.043
2019,1,3,11,albon,1:31.357
2019,1,3,12,perez,1:31.356
2019,1,3,13,stroll,1:31.558
2019,1,3,14,sainz,1:31.467
2019,1,3,15,kvyat,1:31.493
2019,1,3,16,gasly,1:31.406
2019,1,3,17,giovinazzi,1:32.742
2019,1,3,18,russell,1:32.781
2019,1,3,19,kubica,1:32.317
2019,1,3,20,ricciardo,1:32.091
2019,1,4,1,bottas,1:28.641
2019,1,4,2,hamilton,1:28.804
2019,1,4,3,vettel,1:29.124
2019,1,4,4,max_verstappen,1:29.301
2019,1,4,5,leclerc,1:29.387
2019,1,4,6,kevin_magnussen,1:30.379
2019,1,4,7,grosjean,1:30.707
2019,1,4,8,hulkenberg,1:30.687
2019,1,4,9,raikkonen,1:30.596
2019,1,4,10,norris,1:31.190
2019,1,4,11,albon,1:31.421
2019,1,4,12,perez,1:31.743
2019,1,4,13,stroll,1:31.612
2019,1,4,14,sainz,1:31.696
2019,1,4,15,kvyat,1:31.654
2019,1,4,16,gasly,1:32.361
2019,1,4,17,giovinazzi,1:32.091
2019,1,4,18,russell,1:32.743
2019,1,4,19,ricciardo,1:30.480
2019,1,4,20,kubica,1:33.683
2019,1,5,1,bottas,1:28.759
2019,1,5,2,hamilton,1:28.914
2019,1,5,3,vettel,1:29.310
2019,1,5,4,max_verstappen,1:29.723
2019,1,5,5,leclerc,1:29.579
2019,1,5,6,kevin_magnussen,1:30.166
2019,1,5,7,grosjean,1:30.391
2019,1,5,8,hulkenberg,1:30.655
2019,1,5,9,raikkonen,1:30.765
2019,1,5,10,norris,1:31.060
2019,1,5,11,albon,1:30.884
2019,1,5,12,perez,1:31.400
2019,1,5,13,stroll,1:31.545
2019,1,5,14,sainz,1:31.698
2019,1,5,15,kvyat,1:31.726
2019,1,5,16,gasly,1:31.171
2019,1,5,17,giovinazzi,1:31.988
2019,1,5,18,russell,1:32.944
2019,1,5,19,ricciardo,1:30.631
2019,1,5,20,kubica,1:33.218
2019,1,6,1,bottas,1:29.034
2019,1,6,2,hamilton,1:29.475
2019,1,6,3,vettel,1:29.666
2019,1,6,4,max_verstappen,1:29.744
2019,1,6,5,leclerc,1:30.124
2019,1,6,6,kevin_magnussen,1:30.619
2019,1,6,7,grosjean,1:30.413
2019,1,6,8,hulkenberg,1:30.441
2019,1,6,9,raikkonen,1:30.882
2019,1,6,10,norris,1:31.390
2019,1,6,11,albon,1:31.474
2019,1,6,12,perez,1:31.175
2019,1,6,13,stroll,1:31.104
2019,1,6,14,sainz,1:31.054
2019,1,6,15,kvyat,1:31.192
2019,1,6,16,gasly,1:31.020
2019,1,6,17,giovinazzi,1:31.639
2019,1,6,18,russell,1:32.537
2019,1,6,19,ricciardo,1:30.380
2019,1,6,20,kubica,1:32.625
2019,1,7,1,bottas,1:28.783
2019,1,7,2,hamilton,1:29.150
2019,1,7,3,vettel,1:29.418
2019,1,7,4,max_verstappen,1:29.516
2019,1,7,5,leclerc,1:30.006
2019,1,7,6,kevin_magnussen,1:30.384
2019,1,7,7,grosjean,1:30.471
2019,1,7,8,hulkenberg,1:30.923
2019,1,7,9,raikkonen,1:30.843
2019,1,7,10,norris,1:30.879
2019,1,7,11,albon,1:31.075
2019,1,7,12,perez,1:31.143
2019,1,7,13,stroll,1:31.301
2019,1,7,14,sainz,1:31.317
2019,1,7,15,kvyat,1:31.168
2019,1,7,16,gasly,1:31.165
2019,1,7,17,giovinazzi,1:31.344
2019,1,7,18,russell,1:32.251
2019,1,7,19,ricciardo,1:30.092
2019,1,7,20,kubica,1:32.622
2019,1,8,1,bottas,1:28.651
2019,1,8,2,hamilton,1:29.208
2019,1,8,3,vettel,1:29.557
2019,1,8,4,max_verstappen,1:29.453
