season,round,lap,position,driverId,time
2021,1,1,1,max_verstappen,1:58.245
2021,1,1,2,hamilton,1:59.538
2021,1,1,3,leclerc,2:02.698
2021,1,1,4,bottas,2:03.772
2021,1,1,5,gasly,2:04.697
2021,1,1,6,norris,2:06.744
2021,1,1,7,ricciardo,2:08.545
2021,1,1,8,alonso,2:10.373
2021,1,1,9,stroll,2:12.396
2021,1,1,10,sainz,2:14.282
2021,1,1,11,raikkonen,2:16.372
2021,1,1,12,giovinazzi,2:18.362
2021,1,1,13,ocon,2:19.866
2021,1,1,14,vettel,2:21.797
2021,1,1,15,tsunoda,2:22.502
2021,1,1,16,russell,2:24.364
2021,1,1,17,latifi,2:25.219
2021,1,1,18,mick_schumacher,2:26.524
2021,1,1,19,perez,2:27.951
2021,1,2,1,max_verstappen,2:22.406
2021,1,2,2,hamilton,2:22.712
2021,1,2,3,leclerc,2:21.183
2021,1,2,4,bottas,2:21.478
2021,1,2,5,gasly,2:22.263
2021,1,2,6,norris,2:20.999
2021,1,2,7,ricciardo,2:20.642
2021,1,2,8,alonso,2:19.776
2021,1,2,9,stroll,2:19.603
2021,1,2,10,sainz,2:19.070
2021,1,2,11,raikkonen,2:19.993
2021,1,2,12,giovinazzi,2:18.879
2021,1,2,13,ocon,2:18.821
2021,1,2,14,vettel,2:18.294
2021,1,2,15,tsunoda,2:18.520
2021,1,2,16,russell,2:18.994
2021,1,2,17,latifi,2:19.416
2021,1,2,18,mick_schumacher,2:19.552
2021,1,2,19,perez,2:20.666
2021,1,3,1,max_verstappen,2:38.001
2021,1,3,2,hamilton,2:36.656
2021,1,3,3,leclerc,2:35.188
2021,1,3,4,bottas,2:34.199
2021,1,3,5,gasly,2:32.610
2021,1,3,6,norris,2:32.067
2021,1,3,7,ricciardo,2:31.045
2021,1,3,8,alonso,2:30.630
2021,1,3,9,stroll,2:29.035
2021,1,3,10,sainz,2:28.127
2021,1,3,11,raikkonen,2:25.649
2021,1,3,12,giovinazzi,2:25.126
2021,1,3,13,ocon,2:23.946
2021,1,3,14,vettel,2:22.630
2021,1,3,15,tsunoda,2:22.096
2021,1,3,16,russell,2:19.901
2021,1,3,17,latifi,2:18.832
2021,1,3,18,mick_schumacher,2:17.719
2021,1,3,19,perez,2:15.246
2021,1,4,1,max_verstappen,1:44.343
2021,1,4,2,hamilton,1:44.932
2021,1,4,3,leclerc,1:46.103
2021,1,4,4,bottas,1:48.046
2021,1,4,5,norris,1:49.988
2021,1,4,6,ricciardo,1:51.438
2021,1,4,7,alonso,1:52.313
2021,1,4,8,stroll,1:52.919
2021,1,4,9,sainz,1:53.477
2021,1,4,10,giovinazzi,1:53.761
2021,1,4,11,raikkonen,1:56.558
2021,1,4,12,ocon,1:57.137
2021,1,4,13,vettel,1:57.475
2021,1,4,14,russell,1:57.443
2021,1,4,15,perez,1:58.724
2021,1,4,16,tsunoda,2:00.403
2021,1,4,17,latifi,2:01.239
2021,1,4,18,gasly,2:06.772
2021,1,4,19,mick_schumacher,2:09.259
2021,1,5,1,max_verstappen,1:44.629
2021,1,5,2,hamilton,1:45.139
2021,1,5,3,leclerc,1:45.543
2021,1,5,4,bottas,1:43.651
2021,1,5,5,norris,1:42.220
2021,1,5,6,ricciardo,1:41.470
2021,1,5,7,alonso,1:40.858
2021,1,5,8,stroll,1:41.463
2021,1,5,9,sainz,1:41.209
2021,1,5,10,giovinazzi,1:42.150
2021,1,5,11,raikkonen,1:40.574
2021,1,5,12,ocon,1:40.334
2021,1,5,13,russell,1:40.849
2021,1,5,14,vettel,1:41.948
2021,1,5,15,perez,1:40.010
2021,1,5,16,tsunoda,1:40.554
2021,1,5,17,latifi,1:40.773
2021,1,5,18,mick_schumacher,1:39.927
2021,1,5,19,gasly,2:11.534
2021,1,6,1,max_verstappen,1:35.982
2021,1,6,2,hamilton,1:36.169
2021,1,6,3,bottas,1:37.109
2021,1,6,4,leclerc,1:38.294
2021,1,6,5,norris,1:37.893
2021,1,6,6,ricciardo,1:37.571
2021,1,6,7,alonso,1:37.652
2021,1,6,8,stroll,1:37.046
2021,1,6,9,sainz,1:37.112
2021,1,6,10,giovinazzi,1:37.852
2021,1,6,11,raikkonen,1:37.831
2021,1,6,12,ocon,1:37.855
2021,1,6,13,vettel,1:37.484
2021,1,6,14,perez,1:37.480
2021,1,6,15,russell,1:40.223
2021,1,6,16,tsunoda,1:38.218
2021,1,6,17,latifi,1:39.237
2021,1,6,18,mick_schumacher,1:38.744
2021,1,6,19,gasly,1:36.677
2021,1,7,1,max_verstappen,1:35.902
2021,1,7,2,hamilton,1:36.123
2021,1,7,3,bottas,1:36.355
2021,1,7,4,leclerc,1:37.148
2021,1,7,5,norris,1:36.906
2021,1,7,6,ricciardo,1:37.205
2021,1,7,7,alonso,1:37.366
2021,1,7,8,stroll,1:37.209
2021,1,7,9,sainz,1:37.139
2021,1,7,10,giovinazzi,1:37.993
2021,1,7,11,raikkonen,1:38.014
2021,1,7,12,ocon,1:37.991
2021,1,7,13,vettel,1:37.964
2021,1,7,14,perez,1:37.891
2021,1,7,15,tsunoda,1:37.329
2021,1,7,16,russell,1:39.318
2021,1,7,17,latifi,1:38.390
2021,1,7,18,mick_schumacher,1:39.134
2021,1,7,19,gasly,1:36.954
2021,1,8,1,max_verstappen,1:36.032
2021,1,8,2,hamilton,1:36.075
2021,1,8,3,bottas,1:36.022
2021,1,8,4,leclerc,1:37.886
2021,1,8,5,norris,1:37.724
2021,1,8,6,ricciardo,1:37.639
2021,1,8,7,alonso,1:38.006
2021,1,8,8,stroll,1:37.700
2021,1,8,9,sainz,1:37.829
2021,1,8,10,giovinazzi,1:37.972
2021,1,8,11,raikkonen,1:38.015
2021,1,8,12,ocon,1:38.234
2021,1,8,13,perez,1:37.134
2021,1,8,14,vettel,1:38.935
2021,1,8,15,tsunoda,1:37.491
2021,1,8,16,russell,1:38.317
2021,1,8,17,latifi,1:38.518
2021,1,8,18,mick_schumacher,1:39.272
2021,1,8,19,gasly,1:37.424
2021,1,9,1,max_verstappen,1:36.012
2021,1,9,2,hamilton,1:36.148
2021,1,9,3,bottas,1:37.086
2021,1,9,4,norris,1:37.360
2021,1,9,5,leclerc,1:38.667
2021,1,9,6,ricciardo,1:37.858
2021,1,9,7,stroll,1:37.797
2021,1,9,8,alonso,1:39.062
2021,1,9,9,sainz,1:38.396
2021,1,9,10,giovinazzi,1:38.008
2021,1,9,11,raikkonen,1:37.993
2021,1,9,12,ocon,1:37.866
2021,1,9,13,perez,1:37.381
2021,1,9,14,tsunoda,1:37.907
2021,1,9,15,vettel,1:39.358
2021,1,9,16,russell,1:38.415
2021,1,9,17,latifi,1:38.784
2021,1,9,18,mick_schumacher,1:39.164
2021,1,9,19,gasly,1:37.030
2021,1,10,1,max_verstappen,1:36.175
2021,1,10,2,hamilton,1:36.082
2021,1,10,3,bottas,1:36.405
2021,1,10,4,norris,1:37.523
2021,1,10,5,leclerc,1:37.518
2021,1,10,6,ricciardo,1:37.782
2021,1,10,7,stroll,1:37.614
2021,1,10,8,alonso,1:37.758
2021,1,10,9,sainz,1:38.012
2021,1,10,10,giovinazzi,1:37.846
2021,1,10,11,raikkonen,1:37.622
2021,1,10,12,perez,1:36.788
2021,1,10,13,ocon,1:38.818
2021,1,10,14,tsunoda,1:37.738
2021,1,10,15,vettel,1:38.100
2021,1,10,16,russell,1:38.386
2021,1,10,17,latifi,1:38.027
2021,1,10,18,mick_schumacher,1:38.955
2021,1,10,19,gasly,1:37.375
2021,1,11,1,max_verstappen,1:36.179
2021,1,11,2,hamilton,1:36.143
2021,1,11,3,bottas,1:36.384
2021,1,11,4,norris,1:37.162
2021,1,11,5,leclerc,1:37.729
2021,1,11,6,ricciardo,1:37.314
2021,1,11,7,stroll,1:37.536
2021,1,11,8,sainz,1:37.562
2021,1,11,9,alonso,1:40.308
2021,1,11,10,giovinazzi,1:37.765
2021,1,11,11,raikkonen,1:38.086
2021,1,11,12,perez,1:37.837
2021,1,11,13,ocon,1:37.945
2021,1,11,14,tsunoda,1:37.593
2021,1,11,15,vettel,1:38.184
2021,1,11,16,russell,1:38.471
2021,1,11,17,latifi,1:38.280
2021,1,11,18,mick_schumacher,1:39.180
2021,1,11,19,gasly,1:37.517
2021,1,12,1,max_verstappen,1:36.592
2021,1,12,2,hamilton,1:36.507
2021,1,12,3,bottas,1:36.460
2021,1,12,4,ricciardo,1:38.454
2021,1,12,5,norris,1:40.425
2021,1,12,6,leclerc,1:40.477
2021,1,12,7,sainz,1:37.716
2021,1,12,8,stroll,1:40.751
2021,1,12,9,raikkonen,1:37.783
2021,1,12,10,perez,1:37.988
2021,1,12,11,giovinazzi,1:40.892
2021,1,12,12,ocon,1:38.201
2021,1,12,13,tsunoda,1:37.947
2021,1,12,14,vettel,1:38.169
2021,1,12,15,russell,1:38.719
2021,1,12,16,latifi,1:38.781
2021,1,12,17,alonso,1:56.122
2021,1,12,18,mick_schumacher,1:39.979
2021,1,12,19,gasly,1:38.054
2021,1,13,1,max_verstappen,1:36.291
2021,1,13,2,hamilton,1:38.924
2021,1,13,3,bottas,1:36.423
2021,1,13,4,ricciardo,1:40.195
2021,1,13,5,sainz,1:37.660
2021,1,13,6,perez,1:36.949
2021,1,13,7,raikkonen,1:39.710
2021,1,13,8,tsunoda,1:37.882
2021,1,13,9,ocon,1:40.503
2021,1,13,10,vettel,1:38.050
2021,1,13,11,latifi,1:38.526
2021,1,13,12,russell,1:40.821
2021,1,13,13,norris,1:57.417
2021,1,13,14,leclerc,1:56.773
2021,1,13,15,alonso,1:36.844
2021,1,13,16,stroll,1:56.840
2021,1,13,17,mick_schumacher,1:39.685
2021,1,13,18,giovinazzi,2:05.351
2021,1,13,19,gasly,1:37.874
2021,1,14,1,max_verstappen,1:36.880
2021,1,14,2,bottas,1:36.736
2021,1,14,3,sainz,1:37.591
2021,1,14,4,hamilton,1:55.006
2021,1,14,5,perez,1:36.870
2021,1,14,6,tsunoda,1:37.923
2021,1,14,7,vettel,1:38.011
2021,1,14,8,norris,1:35.286
2021,1,14,9,leclerc,1:35.552
2021,1,14,10,alonso,1:37.143
2021,1,14,11,ricciardo,1:57.427
2021,1,14,12,stroll,1:37.477
2021,1,14,13,latifi,1:42.131
2021,1,14,14,raikkonen,1:57.033
2021,1,14,15,ocon,1:57.222
2021,1,14,16,giovinazzi,1:37.462
2021,1,14,17,mick_schumacher,1:42.903
2021,1,14,18,russell,1:57.136
2021,1,14,19,gasly,1:38.302
2021,1,15,1,max_verstappen,1:36.924
2021,1,15,2,bottas,1:36.583
2021,1,15,3,hamilton,1:34.057
2021,1,15,4,perez,1:36.853
2021,1,15,5,sainz,1:40.840
2021,1,15,6,vettel,1:38.024
