season,round,lap,position,driverId,time
2020,1,8,2,max_verstappen,1:09.538
2020,1,8,3,albon,1:09.649
2020,1,8,4,hamilton,1:09.796
2020,1,8,5,norris,1:10.324
2020,1,8,6,perez,1:10.291
2020,1,8,7,leclerc,1:10.611
2020,1,8,8,sainz,1:10.651
2020,1,8,9,stroll,1:10.655
2020,1,8,10,vettel,1:10.716
2020,1,8,11,ricciardo,1:10.610
2020,1,8,12,gasly,1:10.912
2020,1,8,13,kvyat,1:11.132
2020,1,8,14,kevin_magnussen,1:11.489
2020,1,8,15,giovinazzi,1:11.584
2020,1,8,16,ocon,1:11.640
2020,1,8,17,raikkonen,1:11.941
2020,1,8,18,grosjean,1:12.008
2020,1,8,19,russell,1:11.784
2020,1,8,20,latifi,1:12.201
2020,1,9,1,bottas,1:09.357
2020,1,9,2,max_verstappen,1:09.459
2020,1,9,3,hamilton,1:09.547
2020,1,9,4,albon,1:11.677
2020,1,9,5,norris,1:10.132
2020,1,9,6,perez,1:10.252
2020,1,9,7,leclerc,1:10.511
2020,1,9,8,sainz,1:10.571
2020,1,9,9,stroll,1:10.847
2020,1,9,10,vettel,1:11.613
2020,1,9,11,ricciardo,1:10.925
2020,1,9,12,gasly,1:10.902
2020,1,9,13,kvyat,1:10.988
2020,1,9,14,kevin_magnussen,1:11.520
2020,1,9,15,giovinazzi,1:11.583
2020,1,9,16,ocon,1:11.645
2020,1,9,17,raikkonen,1:11.475
2020,1,9,18,grosjean,1:11.829
2020,1,9,19,russell,1:12.207
2020,1,9,20,latifi,1:12.571
2020,1,10,1,bottas,1:09.457
2020,1,10,2,max_verstappen,1:09.451
2020,1,10,3,hamilton,1:09.683
2020,1,10,4,albon,1:10.495
2020,1,10,5,norris,1:10.324
2020,1,10,6,perez,1:10.416
2020,1,10,7,leclerc,1:10.460
2020,1,10,8,sainz,1:10.518
2020,1,10,9,stroll,1:11.253
2020,1,10,10,vettel,1:11.011
2020,1,10,11,ricciardo,1:10.755
2020,1,10,12,gasly,1:11.031
2020,1,10,13,kvyat,1:10.869
2020,1,10,14,kevin_magnussen,1:11.688
2020,1,10,15,giovinazzi,1:11.654
2020,1,10,16,ocon,1:11.868
2020,1,10,17,raikkonen,1:11.895
2020,1,10,18,grosjean,1:11.843
2020,1,10,19,russell,1:12.297
2020,1,10,20,latifi,1:12.720
2020,1,11,1,bottas,1:09.407
2020,1,11,2,hamilton,1:09.581
2020,1,11,3,albon,1:10.097
2020,1,11,4,norris,1:10.449
2020,1,11,5,perez,1:10.241
2020,1,11,6,leclerc,1:10.690
2020,1,11,7,sainz,1:10.701
2020,1,11,8,stroll,1:11.495
2020,1,11,9,vettel,1:11.103
2020,1,11,10,ricciardo,1:11.281
2020,1,11,11,gasly,1:11.089
2020,1,11,12,kvyat,1:11.403
2020,1,11,13,kevin_magnussen,1:11.722
2020,1,11,14,giovinazzi,1:11.860
2020,1,11,15,ocon,1:11.642
2020,1,11,16,raikkonen,1:11.618
2020,1,11,17,grosjean,1:11.891
2020,1,11,18,russell,1:11.923
2020,1,11,19,latifi,1:12.422
2020,1,11,20,max_verstappen,2:18.665
2020,1,12,1,bottas,1:09.649
2020,1,12,2,hamilton,1:09.586
2020,1,12,3,albon,1:09.883
2020,1,12,4,norris,1:10.112
2020,1,12,5,perez,1:10.011
2020,1,12,6,leclerc,1:10.544
2020,1,12,7,sainz,1:10.549
2020,1,12,8,stroll,1:11.412
2020,1,12,9,vettel,1:11.043
2020,1,12,10,ricciardo,1:10.885
2020,1,12,11,gasly,1:11.069
2020,1,12,12,kvyat,1:11.094
2020,1,12,13,kevin_magnussen,1:11.141
2020,1,12,14,giovinazzi,1:11.451
2020,1,12,15,ocon,1:11.523
2020,1,12,16,raikkonen,1:11.793
2020,1,12,17,grosjean,1:11.615
2020,1,12,18,russell,1:11.817
2020,1,12,19,latifi,1:11.990
2020,1,13,1,bottas,1:09.333
2020,1,13,2,hamilton,1:09.123
2020,1,13,3,albon,1:09.752
2020,1,13,4,norris,1:10.309
2020,1,13,5,perez,1:10.514
2020,1,13,6,leclerc,1:10.489
2020,1,13,7,sainz,1:10.392
2020,1,13,8,stroll,1:11.006
2020,1,13,9,vettel,1:11.084
2020,1,13,10,ricciardo,1:10.929
2020,1,13,11,gasly,1:10.897
2020,1,13,12,kvyat,1:10.962
2020,1,13,13,kevin_magnussen,1:10.902
2020,1,13,14,giovinazzi,1:11.483
2020,1,13,15,ocon,1:11.499
2020,1,13,16,raikkonen,1:11.354
2020,1,13,17,grosjean,1:11.706
2020,1,13,18,russell,1:11.557
2020,1,13,19,latifi,1:11.808
2020,1,14,1,bottas,1:09.547
2020,1,14,2,hamilton,1:09.233
2020,1,14,3,albon,1:10.010
2020,1,14,4,norris,1:10.210
2020,1,14,5,perez,1:10.717
2020,1,14,6,leclerc,1:10.333
2020,1,14,7,sainz,1:10.421
2020,1,14,8,stroll,1:10.629
2020,1,14,9,vettel,1:10.649
2020,1,14,10,ricciardo,1:10.814
2020,1,14,11,gasly,1:10.827
2020,1,14,12,kvyat,1:10.753
2020,1,14,13,kevin_magnussen,1:11.152
2020,1,14,14,giovinazzi,1:10.987
2020,1,14,15,ocon,1:10.935
2020,1,14,16,raikkonen,1:11.319
2020,1,14,17,grosjean,1:11.437
2020,1,14,18,russell,1:11.588
2020,1,14,19,latifi,1:11.681
2020,1,15,1,bottas,1:09.300
2020,1,15,2,hamilton,1:09.184
2020,1,15,3,albon,1:10.108
2020,1,15,4,norris,1:10.187
2020,1,15,5,perez,1:10.701
2020,1,15,6,leclerc,1:10.308
2020,1,15,7,sainz,1:10.322
2020,1,15,8,stroll,1:10.734
2020,1,15,9,vettel,1:10.823
2020,1,15,10,ricciardo,1:10.828
2020,1,15,11,gasly,1:10.970
2020,1,15,12,kvyat,1:11.003
2020,1,15,13,kevin_magnussen,1:11.386
2020,1,15,14,ocon,1:10.703
2020,1,15,15,giovinazzi,1:12.546
2020,1,15,16,raikkonen,1:11.366
2020,1,15,17,grosjean,1:11.377
2020,1,15,18,russell,1:11.563
2020,1,15,19,latifi,1:11.663
2020,1,16,1,bottas,1:09.417
2020,1,16,2,hamilton,1:09.142
2020,1,16,3,albon,1:10.082
2020,1,16,4,norris,1:10.235
2020,1,16,5,perez,1:10.555
2020,1,16,6,leclerc,1:10.278
2020,1,16,7,sainz,1:10.378
2020,1,16,8,stroll,1:10.611
2020,1,16,9,vettel,1:10.650
2020,1,16,10,ricciardo,1:10.824
2020,1,16,11,gasly,1:10.953
2020,1,16,12,kvyat,1:10.831
2020,1,16,13,kevin_magnussen,1:11.075
2020,1,16,14,ocon,1:10.850
2020,1,16,15,giovinazzi,1:11.406
2020,1,16,16,raikkonen,1:11.588
2020,1,16,17,grosjean,1:11.224
2020,1,16,18,russell,1:11.674
2020,1,16,19,latifi,1:11.746
2020,1,17,1,bottas,1:09.224
2020,1,17,2,hamilton,1:09.046
2020,1,17,3,albon,1:09.823
2020,1,17,4,norris,1:10.052
2020,1,17,5,perez,1:10.340
2020,1,17,6,leclerc,1:10.138
2020,1,17,7,sainz,1:10.405
2020,1,17,8,stroll,1:11.431
2020,1,17,9,vettel,1:10.994
2020,1,17,10,gasly,1:10.762
2020,1,17,11,kvyat,1:11.190
2020,1,17,12,kevin_magnussen,1:11.766
2020,1,17,13,ocon,1:11.347
2020,1,17,14,giovinazzi,1:11.093
2020,1,17,15,raikkonen,1:11.213
2020,1,17,16,grosjean,1:11.554
2020,1,17,17,russell,1:11.538
2020,1,17,18,latifi,1:11.845
2020,1,17,19,ricciardo,1:38.320
2020,1,18,1,bottas,1:09.049
2020,1,18,2,hamilton,1:09.076
2020,1,18,3,albon,1:09.907
